model,task_id,format,length,total_score,judge1,judge2,judge3,word_count,latency_s
qwen_397b,e-code-01,markdown,short,33.5,0,0,0,553,0
qwen_397b,e-code-01,xml,short,33.5,0,0,0,469,0
qwen_397b,e-code-01,json,short,15.5,0,0,0,0,0
qwen_397b,e-code-01,yaml,short,34.5,0,0,0,441,0
qwen_397b,e-code-01,hybrid,short,33.0,0,0,0,404,0
qwen_397b,e-code-01,text,medium,34.5,0,0,0,216,0
qwen_397b,e-code-01,markdown,medium,34.0,0,0,0,252,0
qwen_397b,e-code-01,xml,medium,34.5,0,0,0,247,0
qwen_397b,e-code-01,json,medium,34.0,0,0,0,339,0
qwen_397b,e-code-01,yaml,medium,33.5,0,0,0,268,0
qwen_397b,e-code-01,hybrid,medium,33.5,0,0,0,249,0
qwen_397b,e-code-01,text,long,15.5,0,0,0,0,0
qwen_397b,e-code-01,markdown,long,19.0,0,0,0,63,0
qwen_397b,e-code-01,xml,long,18.0,0,0,0,0,0
qwen_397b,e-code-01,json,long,18.0,0,0,0,0,0
qwen_397b,e-code-01,yaml,long,31.0,0,0,0,567,0
qwen_397b,e-code-01,hybrid,long,33.5,0,0,0,534,0
gemini_3.1_pro,e-code-01,text,short,33.0,0,0,0,603,0
gemini_3.1_pro,e-code-01,markdown,short,33.5,0,0,0,515,0
gemini_3.1_pro,e-code-01,xml,short,32.5,0,0,0,555,0
gemini_3.1_pro,e-code-01,json,short,35.0,0,0,0,499,0
gemini_3.1_pro,e-code-01,yaml,short,33.0,0,0,0,578,0
gemini_3.1_pro,e-code-01,hybrid,short,33.5,0,0,0,594,0
gemini_3.1_pro,e-code-01,text,medium,32.5,0,0,0,327,0
gemini_3.1_pro,e-code-01,markdown,medium,33.0,0,0,0,322,0
gemini_3.1_pro,e-code-01,xml,medium,32.5,0,0,0,299,0
gemini_3.1_pro,e-code-01,json,medium,32.5,0,0,0,361,0
gemini_3.1_pro,e-code-01,yaml,medium,32.0,0,0,0,342,0
gemini_3.1_pro,e-code-01,hybrid,medium,34.0,0,0,0,332,0
gemini_3.1_pro,e-code-01,text,long,33.0,0,0,0,336,0
gemini_3.1_pro,e-code-01,markdown,long,31.5,0,0,0,592,0
gemini_3.1_pro,e-code-01,xml,long,35.0,0,0,0,594,0
gemini_3.1_pro,e-code-01,json,long,35.5,0,0,0,570,0
gemini_3.1_pro,e-code-01,yaml,long,33.0,0,0,0,583,0
gemini_3.1_pro,e-code-01,hybrid,long,29.0,0,0,0,532,0
claude_sonnet_4.6,e-code-01,text,short,29.5,0,0,0,1030,0
claude_sonnet_4.6,e-code-01,markdown,short,34.5,0,0,0,510,0
claude_sonnet_4.6,e-code-01,xml,short,35.0,0,0,0,522,0
claude_sonnet_4.6,e-code-01,json,short,34.0,0,0,0,701,0
claude_sonnet_4.6,e-code-01,yaml,short,25.5,0,0,0,980,0
claude_sonnet_4.6,e-code-01,hybrid,short,34.5,0,0,0,749,0
claude_sonnet_4.6,e-code-01,text,medium,36.0,0,0,0,607,0
claude_sonnet_4.6,e-code-01,markdown,medium,37.5,0,0,0,325,0
claude_sonnet_4.6,e-code-01,xml,medium,35.0,0,0,0,431,0
claude_sonnet_4.6,e-code-01,json,medium,34.5,0,0,0,407,0
claude_sonnet_4.6,e-code-01,yaml,medium,34.5,0,0,0,402,0
claude_sonnet_4.6,e-code-01,hybrid,medium,35.5,0,0,0,305,0
claude_sonnet_4.6,e-code-01,text,long,31.5,0,0,0,1045,0
claude_sonnet_4.6,e-code-01,markdown,long,34.5,0,0,0,665,0
claude_sonnet_4.6,e-code-01,xml,long,33.5,0,0,0,599,0
claude_sonnet_4.6,e-code-01,json,long,35.0,0,0,0,753,0
claude_sonnet_4.6,e-code-01,yaml,long,33.5,0,0,0,770,0
claude_sonnet_4.6,e-code-01,hybrid,long,33.5,0,0,0,727,0
nemotron_120b,e-code-01,text,short,35.5,0,0,0,664,0
nemotron_120b,e-code-01,markdown,short,34.5,0,0,0,419,0
nemotron_120b,e-code-01,xml,short,30.0,0,0,0,544,0
nemotron_120b,e-code-01,json,short,30.75,0,0,0,652,0
nemotron_120b,e-code-01,yaml,short,34.0,0,0,0,396,0
nemotron_120b,e-code-01,hybrid,short,33.0,0,0,0,570,0
nemotron_120b,e-code-01,text,medium,35.0,0,0,0,374,0
nemotron_120b,e-code-01,markdown,medium,35.0,0,0,0,351,0
nemotron_120b,e-code-01,xml,medium,37.0,0,0,0,256,0
nemotron_120b,e-code-01,json,medium,37.0,0,0,0,267,0
nemotron_120b,e-code-01,yaml,medium,34.0,0,0,0,326,0
nemotron_120b,e-code-01,hybrid,medium,36.5,0,0,0,263,0
nemotron_120b,e-code-01,text,long,35.0,0,0,0,547,0
nemotron_120b,e-code-01,markdown,long,34.0,0,0,0,456,0
nemotron_120b,e-code-01,xml,long,37.0,0,0,0,440,0
nemotron_120b,e-code-01,json,long,34.5,0,0,0,416,0
nemotron_120b,e-code-01,yaml,long,27.0,0,0,0,793,0
nemotron_120b,e-code-01,hybrid,long,32.5,0,0,0,416,0
qwen_397b,e-code-02,text,short,27.0,0,0,0,233,0
qwen_397b,e-code-02,markdown,short,32.5,0,0,0,319,0
qwen_397b,e-code-02,markdown,medium,24.5,0,0,0,288,0
gemini_3.1_pro,e-code-02,text,short,32.0,0,0,0,447,0
gemini_3.1_pro,e-code-02,markdown,short,32.5,0,0,0,389,0
gemini_3.1_pro,e-code-02,xml,short,33.0,0,0,0,386,0
gemini_3.1_pro,e-code-02,json,short,31.0,0,0,0,540,0
gemini_3.1_pro,e-code-02,yaml,short,34.0,0,0,0,532,0
gemini_3.1_pro,e-code-02,hybrid,short,31.0,0,0,0,456,0
gemini_3.1_pro,e-code-02,text,medium,26.0,0,0,0,266,0
gemini_3.1_pro,e-code-02,markdown,medium,27.0,0,0,0,260,0
gemini_3.1_pro,e-code-02,xml,medium,25.5,0,0,0,232,0
gemini_3.1_pro,e-code-02,json,medium,29.5,0,0,0,283,0
gemini_3.1_pro,e-code-02,yaml,medium,25.5,0,0,0,274,0
gemini_3.1_pro,e-code-02,hybrid,medium,27.5,0,0,0,242,0
gemini_3.1_pro,e-code-02,text,long,25.0,0,0,0,637,0
gemini_3.1_pro,e-code-02,markdown,long,27.5,0,0,0,639,0
gemini_3.1_pro,e-code-02,xml,long,24.5,0,0,0,772,0
gemini_3.1_pro,e-code-02,json,long,27.5,0,0,0,630,0
gemini_3.1_pro,e-code-02,yaml,long,28.0,0,0,0,609,0
gemini_3.1_pro,e-code-02,hybrid,long,28.0,0,0,0,576,0
claude_sonnet_4.6,e-code-02,text,short,35.0,0,0,0,422,0
claude_sonnet_4.6,e-code-02,markdown,short,35.5,0,0,0,314,0
claude_sonnet_4.6,e-code-02,xml,short,34.5,0,0,0,485,0
claude_sonnet_4.6,e-code-02,json,short,35.0,0,0,0,329,0
claude_sonnet_4.6,e-code-02,yaml,short,34.5,0,0,0,378,0
claude_sonnet_4.6,e-code-02,hybrid,short,32.5,0,0,0,441,0
claude_sonnet_4.6,e-code-02,text,medium,25.5,0,0,0,552,0
claude_sonnet_4.6,e-code-02,markdown,medium,30.5,0,0,0,451,0
claude_sonnet_4.6,e-code-02,xml,medium,35.5,0,0,0,305,0
claude_sonnet_4.6,e-code-02,json,medium,35.0,0,0,0,287,0
claude_sonnet_4.6,e-code-02,yaml,medium,26.0,0,0,0,552,0
claude_sonnet_4.6,e-code-02,hybrid,medium,29.0,0,0,0,555,0
claude_sonnet_4.6,e-code-02,text,long,19.5,0,0,0,1566,0
claude_sonnet_4.6,e-code-02,markdown,long,21.0,0,0,0,1362,0
claude_sonnet_4.6,e-code-02,xml,long,26.5,0,0,0,1016,0
claude_sonnet_4.6,e-code-02,json,long,19.0,0,0,0,1254,0
claude_sonnet_4.6,e-code-02,yaml,long,33.0,0,0,0,605,0
claude_sonnet_4.6,e-code-02,hybrid,long,18.5,0,0,0,1193,0
nemotron_120b,e-code-02,text,short,36.0,0,0,0,176,0
nemotron_120b,e-code-02,markdown,short,37.0,0,0,0,149,0
nemotron_120b,e-code-02,xml,short,37.0,0,0,0,34,0
nemotron_120b,e-code-02,json,short,35.0,0,0,0,97,0
nemotron_120b,e-code-02,yaml,short,37.0,0,0,0,153,0
nemotron_120b,e-code-02,hybrid,short,36.5,0,0,0,143,0
nemotron_120b,e-code-02,text,medium,35.5,0,0,0,139,0
nemotron_120b,e-code-02,markdown,medium,37.0,0,0,0,140,0
nemotron_120b,e-code-02,xml,medium,37.0,0,0,0,108,0
nemotron_120b,e-code-02,json,medium,37.5,0,0,0,97,0
nemotron_120b,e-code-02,yaml,medium,37.0,0,0,0,113,0
nemotron_120b,e-code-02,hybrid,medium,33.0,0,0,0,127,0
nemotron_120b,e-code-02,text,long,35.5,0,0,0,346,0
nemotron_120b,e-code-02,markdown,long,36.0,0,0,0,244,0
nemotron_120b,e-code-02,xml,long,36.5,0,0,0,179,0
nemotron_120b,e-code-02,json,long,33.0,0,0,0,298,0
nemotron_120b,e-code-02,yaml,long,33.0,0,0,0,245,0
nemotron_120b,e-code-02,hybrid,long,30.5,0,0,0,366,0
qwen_397b,e-code-03,text,short,34.5,0,0,0,297,0
qwen_397b,e-code-03,markdown,short,33.0,0,0,0,378,0
qwen_397b,e-code-03,xml,short,34.0,0,0,0,510,0
qwen_397b,e-code-03,json,short,34.0,0,0,0,422,0
qwen_397b,e-code-03,yaml,short,34.0,0,0,0,276,0
qwen_397b,e-code-03,hybrid,short,33.5,0,0,0,605,0
qwen_397b,e-code-03,markdown,medium,20.0,0,0,0,0,0
qwen_397b,e-code-03,xml,long,20.0,0,0,0,0,0
gemini_3.1_pro,e-code-03,text,short,35.0,0,0,0,517,0
gemini_3.1_pro,e-code-03,markdown,short,22.0,0,0,0,92,0
gemini_3.1_pro,e-code-03,xml,short,35.5,0,0,0,516,0
gemini_3.1_pro,e-code-03,json,short,35.0,0,0,0,581,0
gemini_3.1_pro,e-code-03,yaml,short,23.0,0,0,0,91,0
gemini_3.1_pro,e-code-03,hybrid,short,35.5,0,0,0,541,0
gemini_3.1_pro,e-code-03,text,medium,34.5,0,0,0,255,0
gemini_3.1_pro,e-code-03,markdown,medium,35.5,0,0,0,322,0
gemini_3.1_pro,e-code-03,xml,medium,35.5,0,0,0,314,0
gemini_3.1_pro,e-code-03,json,medium,34.5,0,0,0,317,0
gemini_3.1_pro,e-code-03,yaml,medium,18.5,0,0,0,78,0
gemini_3.1_pro,e-code-03,hybrid,medium,36.5,0,0,0,334,0
gemini_3.1_pro,e-code-03,text,long,27.5,0,0,0,315,0
gemini_3.1_pro,e-code-03,markdown,long,33.0,0,0,0,464,0
gemini_3.1_pro,e-code-03,xml,long,35.5,0,0,0,657,0
gemini_3.1_pro,e-code-03,json,long,34.5,0,0,0,576,0
gemini_3.1_pro,e-code-03,yaml,long,34.5,0,0,0,539,0
gemini_3.1_pro,e-code-03,hybrid,long,33.0,0,0,0,474,0
claude_sonnet_4.6,e-code-03,text,short,35.0,0,0,0,741,0
claude_sonnet_4.6,e-code-03,markdown,short,35.5,0,0,0,805,0
claude_sonnet_4.6,e-code-03,xml,short,35.0,0,0,0,723,0
claude_sonnet_4.6,e-code-03,json,short,36.5,0,0,0,677,0
claude_sonnet_4.6,e-code-03,yaml,short,35.5,0,0,0,572,0
claude_sonnet_4.6,e-code-03,hybrid,short,33.0,0,0,0,859,0
claude_sonnet_4.6,e-code-03,text,medium,37.0,0,0,0,399,0
claude_sonnet_4.6,e-code-03,markdown,medium,35.5,0,0,0,449,0
claude_sonnet_4.6,e-code-03,xml,medium,34.5,0,0,0,722,0
claude_sonnet_4.6,e-code-03,json,medium,35.0,0,0,0,534,0
claude_sonnet_4.6,e-code-03,yaml,medium,34.75,0,0,0,410,0
claude_sonnet_4.6,e-code-03,hybrid,medium,35.0,0,0,0,421,0
claude_sonnet_4.6,e-code-03,text,long,35.0,0,0,0,806,0
claude_sonnet_4.6,e-code-03,markdown,long,34.75,0,0,0,661,0
claude_sonnet_4.6,e-code-03,xml,long,34.0,0,0,0,725,0
claude_sonnet_4.6,e-code-03,json,long,31.5,0,0,0,1104,0
claude_sonnet_4.6,e-code-03,yaml,long,34.0,0,0,0,649,0
claude_sonnet_4.6,e-code-03,hybrid,long,35.5,0,0,0,703,0
nemotron_120b,e-code-03,text,short,34.5,0,0,0,487,0
nemotron_120b,e-code-03,markdown,short,31.0,0,0,0,718,0
nemotron_120b,e-code-03,xml,short,29,0,0,0,670,0
nemotron_120b,e-code-03,json,short,33.0,0,0,0,443,0
nemotron_120b,e-code-03,yaml,short,33.0,0,0,0,470,0
nemotron_120b,e-code-03,hybrid,short,35.5,0,0,0,452,0
nemotron_120b,e-code-03,text,medium,36.0,0,0,0,347,0
nemotron_120b,e-code-03,markdown,medium,36.0,0,0,0,297,0
nemotron_120b,e-code-03,xml,medium,37.5,0,0,0,238,0
nemotron_120b,e-code-03,json,medium,32.5,0,0,0,392,0
nemotron_120b,e-code-03,yaml,medium,37.0,0,0,0,363,0
nemotron_120b,e-code-03,hybrid,medium,39.0,0,0,0,332,0
nemotron_120b,e-code-03,text,long,36.5,0,0,0,387,0
qwen_397b,e-write-01,hybrid,short,36.5,0,0,0,198,0
gemini_3.1_pro,e-write-01,text,short,12.5,0,0,0,449,0
gemini_3.1_pro,e-write-01,markdown,short,15.5,0,0,0,406,0
gemini_3.1_pro,e-write-01,xml,short,21.0,0,0,0,770,0
gemini_3.1_pro,e-write-01,json,short,16.5,0,0,0,497,0
gemini_3.1_pro,e-write-01,yaml,short,26.0,0,0,0,656,0
gemini_3.1_pro,e-write-01,hybrid,short,22.5,0,0,0,345,0
gemini_3.1_pro,e-write-01,text,medium,23.0,0,0,0,447,0
gemini_3.1_pro,e-write-01,markdown,medium,25.0,0,0,0,405,0
gemini_3.1_pro,e-write-01,xml,medium,24.5,0,0,0,425,0
gemini_3.1_pro,e-write-01,json,medium,22.0,0,0,0,436,0
gemini_3.1_pro,e-write-01,yaml,medium,23.0,0,0,0,430,0
gemini_3.1_pro,e-write-01,hybrid,medium,24.0,0,0,0,386,0
gemini_3.1_pro,e-write-01,text,long,16.0,0,0,0,933,0
gemini_3.1_pro,e-write-01,markdown,long,22.0,0,0,0,796,0
gemini_3.1_pro,e-write-01,xml,long,25.0,0,0,0,586,0
gemini_3.1_pro,e-write-01,json,long,18.0,0,0,0,689,0
gemini_3.1_pro,e-write-01,yaml,long,16.0,0,0,0,862,0
gemini_3.1_pro,e-write-01,hybrid,long,14.0,0,0,0,812,0
claude_sonnet_4.6,e-write-01,text,short,34.0,0,0,0,325,0
claude_sonnet_4.6,e-write-01,markdown,short,37.0,0,0,0,277,0
claude_sonnet_4.6,e-write-01,xml,short,20.0,0,0,0,658,0
claude_sonnet_4.6,e-write-01,json,short,37.0,0,0,0,303,0
claude_sonnet_4.6,e-write-01,yaml,short,36.0,0,0,0,300,0
claude_sonnet_4.6,e-write-01,hybrid,short,36.5,0,0,0,322,0
claude_sonnet_4.6,e-write-01,text,medium,33.5,0,0,0,337,0
claude_sonnet_4.6,e-write-01,markdown,medium,26.5,0,0,0,595,0
claude_sonnet_4.6,e-write-01,xml,medium,13.0,0,0,0,193,0
claude_sonnet_4.6,e-write-01,json,medium,17.5,0,0,0,203,0
claude_sonnet_4.6,e-write-01,yaml,medium,25.5,0,0,0,636,0
claude_sonnet_4.6,e-write-01,hybrid,medium,13.0,0,0,0,1320,0
claude_sonnet_4.6,e-write-01,text,long,10.0,0,0,0,1583,0
claude_sonnet_4.6,e-write-01,markdown,long,16.0,0,0,0,926,0
claude_sonnet_4.6,e-write-01,xml,long,15.0,0,0,0,178,0
claude_sonnet_4.6,e-write-01,json,long,16.0,0,0,0,184,0
claude_sonnet_4.6,e-write-01,yaml,long,15.5,0,0,0,165,0
claude_sonnet_4.6,e-write-01,hybrid,long,16.0,0,0,0,194,0
qwen_397b,e-write-02,text,short,35.5,0,0,0,166,0
qwen_397b,e-write-02,markdown,short,37.0,0,0,0,213,0
qwen_397b,e-write-02,xml,short,35.0,0,0,0,141,0
qwen_397b,e-write-02,json,short,36.0,0,0,0,151,0
qwen_397b,e-write-02,hybrid,short,35.5,0,0,0,231,0
qwen_397b,e-write-02,markdown,medium,18.0,0,0,0,0,0
qwen_397b,e-write-02,xml,medium,22.5,0,0,0,437,0
qwen_397b,e-write-02,json,medium,21.0,0,0,0,439,0
qwen_397b,e-write-02,text,long,10.0,0,0,0,132,0
qwen_397b,e-write-02,markdown,long,13.5,0,0,0,133,0
qwen_397b,e-write-02,xml,long,18.0,0,0,0,0,0
qwen_397b,e-write-02,yaml,long,22.0,0,0,0,762,0
gemini_3.1_pro,e-write-02,text,short,21.0,0,0,0,666,0
gemini_3.1_pro,e-write-02,markdown,short,22.0,0,0,0,823,0
gemini_3.1_pro,e-write-02,xml,short,15.5,0,0,0,647,0
gemini_3.1_pro,e-write-02,json,short,22.5,0,0,0,643,0
gemini_3.1_pro,e-write-02,yaml,short,21.5,0,0,0,572,0
gemini_3.1_pro,e-write-02,hybrid,short,18.5,0,0,0,631,0
gemini_3.1_pro,e-write-02,text,medium,20.5,0,0,0,403,0
gemini_3.1_pro,e-write-02,markdown,medium,24.0,0,0,0,414,0
gemini_3.1_pro,e-write-02,xml,medium,18.0,0,0,0,439,0
gemini_3.1_pro,e-write-02,json,medium,20.5,0,0,0,435,0
gemini_3.1_pro,e-write-02,yaml,medium,19.5,0,0,0,490,0
gemini_3.1_pro,e-write-02,hybrid,medium,20.0,0,0,0,454,0
gemini_3.1_pro,e-write-02,text,long,12.0,0,0,0,149,0
gemini_3.1_pro,e-write-02,markdown,long,22.0,0,0,0,822,0
gemini_3.1_pro,e-write-02,xml,long,20.5,0,0,0,927,0
gemini_3.1_pro,e-write-02,json,long,19.0,0,0,0,879,0
gemini_3.1_pro,e-write-02,yaml,long,19.0,0,0,0,935,0
gemini_3.1_pro,e-write-02,hybrid,long,22.5,0,0,0,898,0
claude_sonnet_4.6,e-write-02,text,short,26.5,0,0,0,1572,0
claude_sonnet_4.6,e-write-02,markdown,short,20.5,0,0,0,891,0
claude_sonnet_4.6,e-write-02,xml,short,17.5,0,0,0,242,0
claude_sonnet_4.6,e-write-02,json,short,32.75,0,0,0,442,0
claude_sonnet_4.6,e-write-02,yaml,short,15.5,0,0,0,160,0
claude_sonnet_4.6,e-write-02,hybrid,short,28.0,0,0,0,1303,0
claude_sonnet_4.6,e-write-02,text,medium,16.0,0,0,0,181,0
claude_sonnet_4.6,e-write-02,markdown,medium,28.5,0,0,0,636,0
claude_sonnet_4.6,e-write-02,xml,medium,16.0,0,0,0,159,0
claude_sonnet_4.6,e-write-02,json,medium,18.5,0,0,0,198,0
claude_sonnet_4.6,e-write-02,yaml,medium,12.5,0,0,0,163,0
claude_sonnet_4.6,e-write-02,hybrid,medium,18.5,0,0,0,164,0
claude_sonnet_4.6,e-write-02,text,long,15.5,0,0,0,210,0
claude_sonnet_4.6,e-write-02,markdown,long,15.5,0,0,0,207,0
claude_sonnet_4.6,e-write-02,xml,long,16.5,0,0,0,185,0
claude_sonnet_4.6,e-write-02,json,long,15.5,0,0,0,197,0
claude_sonnet_4.6,e-write-02,yaml,long,15.5,0,0,0,204,0
claude_sonnet_4.6,e-write-02,hybrid,long,15.5,0,0,0,167,0
nemotron_120b,e-write-02,text,short,32.5,0,0,0,475,0
nemotron_120b,e-write-02,markdown,short,35.5,0,0,0,205,0
nemotron_120b,e-write-02,xml,short,36.5,0,0,0,191,0
nemotron_120b,e-write-02,json,short,35.5,0,0,0,247,0
nemotron_120b,e-write-02,yaml,short,34.0,0,0,0,408,0
nemotron_120b,e-write-02,hybrid,short,36.5,0,0,0,224,0
nemotron_120b,e-write-02,text,medium,34.5,0,0,0,331,0
nemotron_120b,e-write-02,markdown,medium,35.5,0,0,0,241,0
nemotron_120b,e-write-02,xml,medium,24.0,0,0,0,473,0
nemotron_120b,e-write-02,json,medium,21.5,0,0,0,578,0
nemotron_120b,e-write-02,yaml,medium,36.0,0,0,0,186,0
nemotron_120b,e-write-02,hybrid,medium,36.0,0,0,0,200,0
nemotron_120b,e-write-02,text,long,36.5,0,0,0,240,0
nemotron_120b,e-write-02,markdown,long,19.0,0,0,0,119,0
nemotron_120b,e-write-02,xml,long,25.0,0,0,0,672,0
nemotron_120b,e-write-02,json,long,34.5,0,0,0,492,0
nemotron_120b,e-write-02,yaml,long,31.5,0,0,0,527,0
nemotron_120b,e-write-02,hybrid,long,32.5,0,0,0,403,0
qwen_397b,e-write-03,text,short,20.0,0,0,0,0,0
qwen_397b,e-write-03,hybrid,short,19.0,0,0,0,0,0
qwen_397b,e-write-03,markdown,medium,19.0,0,0,0,0,0
qwen_397b,e-write-03,xml,medium,17.5,0,0,0,232,0
qwen_397b,e-write-03,json,medium,20.0,0,0,0,0,0
qwen_397b,e-write-03,yaml,medium,19.0,0,0,0,0,0
qwen_397b,e-write-03,hybrid,medium,19.5,0,0,0,0,0
qwen_397b,e-write-03,text,long,16.5,0,0,0,365,0
qwen_397b,e-write-03,markdown,long,18.5,0,0,0,0,0
gemini_3.1_pro,e-write-03,text,short,12.5,0,0,0,397,0
gemini_3.1_pro,e-write-03,markdown,short,19.0,0,0,0,434,0
gemini_3.1_pro,e-write-03,xml,short,13.0,0,0,0,370,0
gemini_3.1_pro,e-write-03,json,short,16.5,0,0,0,409,0
gemini_3.1_pro,e-write-03,yaml,short,17.5,0,0,0,435,0
gemini_3.1_pro,e-write-03,hybrid,short,17.5,0,0,0,401,0
gemini_3.1_pro,e-write-03,text,medium,15.5,0,0,0,434,0
gemini_3.1_pro,e-write-03,markdown,medium,16.5,0,0,0,459,0
gemini_3.1_pro,e-write-03,xml,medium,17.0,0,0,0,472,0
gemini_3.1_pro,e-write-03,json,medium,20.5,0,0,0,496,0
gemini_3.1_pro,e-write-03,yaml,medium,19.0,0,0,0,493,0
gemini_3.1_pro,e-write-03,hybrid,medium,16.5,0,0,0,512,0
gemini_3.1_pro,e-write-03,text,long,16.0,0,0,0,750,0
gemini_3.1_pro,e-write-03,markdown,long,11.5,0,0,0,824,0
gemini_3.1_pro,e-write-03,xml,long,18.0,0,0,0,798,0
gemini_3.1_pro,e-write-03,json,long,15.0,0,0,0,722,0
gemini_3.1_pro,e-write-03,yaml,long,16.0,0,0,0,685,0
gemini_3.1_pro,e-write-03,hybrid,long,16.0,0,0,0,721,0
claude_sonnet_4.6,e-write-03,text,short,34.5,0,0,0,276,0
claude_sonnet_4.6,e-write-03,markdown,short,37.5,0,0,0,196,0
claude_sonnet_4.6,e-write-03,xml,short,36.5,0,0,0,198,0
claude_sonnet_4.6,e-write-03,json,short,36.5,0,0,0,199,0
claude_sonnet_4.6,e-write-03,yaml,short,37.0,0,0,0,202,0
claude_sonnet_4.6,e-write-03,hybrid,short,36.5,0,0,0,196,0
claude_sonnet_4.6,e-write-03,text,medium,16.5,0,0,0,164,0
claude_sonnet_4.6,e-write-03,markdown,medium,16.5,0,0,0,171,0
claude_sonnet_4.6,e-write-03,xml,medium,15.5,0,0,0,200,0
claude_sonnet_4.6,e-write-03,json,medium,16.0,0,0,0,187,0
claude_sonnet_4.6,e-write-03,yaml,medium,17.5,0,0,0,187,0
claude_sonnet_4.6,e-write-03,hybrid,medium,15.5,0,0,0,183,0
claude_sonnet_4.6,e-write-03,text,long,15.5,0,0,0,195,0
claude_sonnet_4.6,e-write-03,markdown,long,16.0,0,0,0,187,0
claude_sonnet_4.6,e-write-03,xml,long,15.0,0,0,0,174,0
claude_sonnet_4.6,e-write-03,json,long,17.0,0,0,0,205,0
claude_sonnet_4.6,e-write-03,yaml,long,15.5,0,0,0,193,0
claude_sonnet_4.6,e-write-03,hybrid,long,16.0,0,0,0,198,0
nemotron_120b,e-write-03,text,short,35.0,0,0,0,197,0
nemotron_120b,e-write-03,markdown,short,35.5,0,0,0,200,0
nemotron_120b,e-write-03,xml,short,35.5,0,0,0,201,0
nemotron_120b,e-write-03,json,short,35.0,0,0,0,200,0
nemotron_120b,e-write-03,yaml,short,35.5,0,0,0,201,0
nemotron_120b,e-write-03,hybrid,short,36.0,0,0,0,260,0
nemotron_120b,e-write-03,text,medium,33.5,0,0,0,303,0
nemotron_120b,e-write-03,markdown,medium,34.0,0,0,0,200,0
nemotron_120b,e-write-03,xml,medium,34.5,0,0,0,292,0
nemotron_120b,e-write-03,json,medium,35.5,0,0,0,200,0
nemotron_120b,e-write-03,yaml,medium,35.0,0,0,0,200,0
nemotron_120b,e-write-03,markdown,long,33.0,0,0,0,200,0
nemotron_120b,e-write-03,xml,long,38.0,0,0,0,203,0
nemotron_120b,e-write-03,json,long,34.5,0,0,0,200,0
