model,task_id,format,length,total_score,judge1,judge2,judge3,word_count,latency_s
nemotron_120b,e-write-03,yaml,long,35.5,0,0,0,226,0
nemotron_120b,e-write-03,hybrid,long,26.0,0,0,0,339,0
qwen_397b,e-analy-01,text,short,35.0,0,0,0,407,0
qwen_397b,e-analy-01,markdown,short,27.5,0,0,0,551,0
qwen_397b,e-analy-01,xml,short,34.5,0,0,0,505,0
qwen_397b,e-analy-01,json,short,34.5,0,0,0,454,0
qwen_397b,e-analy-01,yaml,short,34.0,0,0,0,576,0
qwen_397b,e-analy-01,hybrid,short,35.0,0,0,0,457,0
qwen_397b,e-analy-01,text,medium,17.0,0,0,0,322,0
qwen_397b,e-analy-01,markdown,medium,20.0,0,0,0,299,0
qwen_397b,e-analy-01,xml,medium,22.0,0,0,0,256,0
qwen_397b,e-analy-01,json,medium,35.5,0,0,0,281,0
qwen_397b,e-analy-01,yaml,medium,17.5,0,0,0,306,0
qwen_397b,e-analy-01,hybrid,medium,16.5,0,0,0,294,0
qwen_397b,e-analy-01,text,long,18.5,0,0,0,972,0
qwen_397b,e-analy-01,markdown,long,2.0,0,0,0,0,0
qwen_397b,e-analy-01,xml,long,20.0,0,0,0,825,0
qwen_397b,e-analy-01,json,long,16.0,0,0,0,729,0
qwen_397b,e-analy-01,yaml,long,19.0,0,0,0,661,0
qwen_397b,e-analy-01,hybrid,long,14.0,0,0,0,651,0
gemini_3.1_pro,e-analy-01,text,short,27.0,0,0,0,801,0
gemini_3.1_pro,e-analy-01,markdown,short,19.0,0,0,0,717,0
gemini_3.1_pro,e-analy-01,xml,short,29.0,0,0,0,835,0
gemini_3.1_pro,e-analy-01,json,short,27.5,0,0,0,827,0
gemini_3.1_pro,e-analy-01,yaml,short,27.0,0,0,0,716,0
gemini_3.1_pro,e-analy-01,hybrid,short,19.5,0,0,0,723,0
gemini_3.1_pro,e-analy-01,text,medium,21.5,0,0,0,431,0
gemini_3.1_pro,e-analy-01,markdown,medium,23.5,0,0,0,359,0
gemini_3.1_pro,e-analy-01,xml,medium,20.0,0,0,0,591,0
gemini_3.1_pro,e-analy-01,json,medium,21.5,0,0,0,437,0
gemini_3.1_pro,e-analy-01,yaml,medium,21.5,0,0,0,424,0
gemini_3.1_pro,e-analy-01,hybrid,medium,19.5,0,0,0,401,0
gemini_3.1_pro,e-analy-01,text,long,17.5,0,0,0,943,0
gemini_3.1_pro,e-analy-01,markdown,long,16.0,0,0,0,566,0
gemini_3.1_pro,e-analy-01,xml,long,20.0,0,0,0,864,0
gemini_3.1_pro,e-analy-01,json,long,15.5,0,0,0,815,0
gemini_3.1_pro,e-analy-01,yaml,long,20.5,0,0,0,935,0
gemini_3.1_pro,e-analy-01,hybrid,long,20.0,0,0,0,810,0
claude_sonnet_4.6,e-analy-01,text,short,24.25,0,0,0,1276,0
claude_sonnet_4.6,e-analy-01,markdown,short,35.5,0,0,0,479,0
claude_sonnet_4.6,e-analy-01,xml,short,35.5,0,0,0,487,0
claude_sonnet_4.6,e-analy-01,json,short,34.5,0,0,0,561,0
claude_sonnet_4.6,e-analy-01,yaml,short,35.0,0,0,0,562,0
claude_sonnet_4.6,e-analy-01,hybrid,short,35.0,0,0,0,463,0
claude_sonnet_4.6,e-analy-01,text,medium,18.5,0,0,0,1278,0
claude_sonnet_4.6,e-analy-01,markdown,medium,22.0,0,0,0,704,0
claude_sonnet_4.6,e-analy-01,xml,medium,35.0,0,0,0,587,0
claude_sonnet_4.6,e-analy-01,json,medium,34.5,0,0,0,705,0
claude_sonnet_4.6,e-analy-01,yaml,medium,34.5,0,0,0,670,0
claude_sonnet_4.6,e-analy-01,hybrid,medium,34.0,0,0,0,605,0
claude_sonnet_4.6,e-analy-01,text,long,19.0,0,0,0,1447,0
claude_sonnet_4.6,e-analy-01,markdown,long,35.5,0,0,0,645,0
claude_sonnet_4.6,e-analy-01,xml,long,35.25,0,0,0,661,0
claude_sonnet_4.6,e-analy-01,json,long,35.0,0,0,0,719,0
claude_sonnet_4.6,e-analy-01,yaml,long,34.0,0,0,0,784,0
claude_sonnet_4.6,e-analy-01,hybrid,long,34.25,0,0,0,641,0
nemotron_120b,e-analy-01,text,short,34.0,0,0,0,651,0
nemotron_120b,e-analy-01,markdown,short,34.5,0,0,0,509,0
nemotron_120b,e-analy-01,xml,short,34.5,0,0,0,637,0
nemotron_120b,e-analy-01,json,short,33.5,0,0,0,720,0
nemotron_120b,e-analy-01,yaml,short,34.5,0,0,0,547,0
nemotron_120b,e-analy-01,hybrid,short,34.0,0,0,0,734,0
nemotron_120b,e-analy-01,text,medium,34.5,0,0,0,410,0
nemotron_120b,e-analy-01,markdown,medium,34.5,0,0,0,289,0
nemotron_120b,e-analy-01,xml,medium,35.0,0,0,0,337,0
nemotron_120b,e-analy-01,json,medium,35.0,0,0,0,366,0
nemotron_120b,e-analy-01,yaml,medium,35.0,0,0,0,432,0
nemotron_120b,e-analy-01,hybrid,medium,34.0,0,0,0,415,0
nemotron_120b,e-analy-01,text,long,33.5,0,0,0,570,0
nemotron_120b,e-analy-01,markdown,long,34.5,0,0,0,420,0
qwen_397b,e-analy-02,text,short,20.0,0,0,0,368,0
qwen_397b,e-analy-02,markdown,short,4.0,0,0,0,0,0
qwen_397b,e-analy-02,yaml,short,14.0,0,0,0,305,0
qwen_397b,e-analy-02,hybrid,short,4.0,0,0,0,0,0
qwen_397b,e-analy-02,text,medium,20.5,0,0,0,369,0
qwen_397b,e-analy-02,markdown,medium,22.0,0,0,0,272,0
qwen_397b,e-analy-02,xml,medium,14.0,0,0,0,420,0
qwen_397b,e-analy-02,json,medium,18.5,0,0,0,307,0
qwen_397b,e-analy-02,hybrid,medium,21.0,0,0,0,338,0
qwen_397b,e-analy-02,text,long,19.5,0,0,0,711,0
qwen_397b,e-analy-02,markdown,long,18.5,0,0,0,748,0
gemini_3.1_pro,e-analy-02,text,short,19.5,0,0,0,345,0
gemini_3.1_pro,e-analy-02,markdown,short,19.0,0,0,0,404,0
gemini_3.1_pro,e-analy-02,xml,short,19.0,0,0,0,392,0
gemini_3.1_pro,e-analy-02,json,short,22.5,0,0,0,409,0
gemini_3.1_pro,e-analy-02,yaml,short,21.5,0,0,0,484,0
gemini_3.1_pro,e-analy-02,hybrid,short,19.0,0,0,0,404,0
gemini_3.1_pro,e-analy-02,text,medium,22.5,0,0,0,330,0
gemini_3.1_pro,e-analy-02,markdown,medium,17.5,0,0,0,361,0
gemini_3.1_pro,e-analy-02,xml,medium,22.5,0,0,0,305,0
gemini_3.1_pro,e-analy-02,json,medium,22.5,0,0,0,338,0
gemini_3.1_pro,e-analy-02,yaml,medium,16.0,0,0,0,340,0
gemini_3.1_pro,e-analy-02,hybrid,medium,21.5,0,0,0,337,0
gemini_3.1_pro,e-analy-02,text,long,17.0,0,0,0,629,0
gemini_3.1_pro,e-analy-02,markdown,long,18.5,0,0,0,757,0
gemini_3.1_pro,e-analy-02,xml,long,19.5,0,0,0,589,0
gemini_3.1_pro,e-analy-02,json,long,19.0,0,0,0,599,0
gemini_3.1_pro,e-analy-02,yaml,long,20.0,0,0,0,551,0
gemini_3.1_pro,e-analy-02,hybrid,long,20.0,0,0,0,721,0
claude_sonnet_4.6,e-analy-02,text,short,33.5,0,0,0,326,0
claude_sonnet_4.6,e-analy-02,markdown,short,34.5,0,0,0,286,0
claude_sonnet_4.6,e-analy-02,xml,short,33.0,0,0,0,408,0
claude_sonnet_4.6,e-analy-02,json,short,33.0,0,0,0,318,0
claude_sonnet_4.6,e-analy-02,yaml,short,13.0,0,0,0,1293,0
claude_sonnet_4.6,e-analy-02,hybrid,short,34.5,0,0,0,277,0
claude_sonnet_4.6,e-analy-02,text,medium,21.75,0,0,0,905,0
claude_sonnet_4.6,e-analy-02,markdown,medium,20.0,0,0,0,837,0
claude_sonnet_4.6,e-analy-02,xml,medium,14.5,0,0,0,986,0
claude_sonnet_4.6,e-analy-02,json,medium,15.5,0,0,0,1203,0
claude_sonnet_4.6,e-analy-02,yaml,medium,20.5,0,0,0,1025,0
claude_sonnet_4.6,e-analy-02,hybrid,medium,15.0,0,0,0,971,0
claude_sonnet_4.6,e-analy-02,text,long,12.5,0,0,0,1305,0
claude_sonnet_4.6,e-analy-02,markdown,long,15.5,0,0,0,216,0
claude_sonnet_4.6,e-analy-02,xml,long,13.5,0,0,0,1287,0
claude_sonnet_4.6,e-analy-02,json,long,18.0,0,0,0,1275,0
claude_sonnet_4.6,e-analy-02,yaml,long,13.5,0,0,0,1348,0
claude_sonnet_4.6,e-analy-02,hybrid,long,18.0,0,0,0,1229,0
qwen_397b,e-qa-01,text,short,27.5,0,0,0,1220,0
qwen_397b,e-qa-01,markdown,short,31.0,0,0,0,986,0
qwen_397b,e-qa-01,xml,short,25.5,0,0,0,1496,0
qwen_397b,e-qa-01,json,short,26.5,0,0,0,872,0
qwen_397b,e-qa-01,yaml,short,28.5,0,0,0,1269,0
qwen_397b,e-qa-01,hybrid,short,28.0,0,0,0,1054,0
qwen_397b,e-qa-01,text,medium,24.0,0,0,0,605,0
qwen_397b,e-qa-01,markdown,medium,27.75,0,0,0,486,0
qwen_397b,e-qa-01,xml,medium,23.5,0,0,0,134,0
qwen_397b,e-qa-01,json,medium,28.25,0,0,0,596,0
qwen_397b,e-qa-01,yaml,medium,29.75,0,0,0,514,0
qwen_397b,e-qa-01,hybrid,medium,29.5,0,0,0,625,0
qwen_397b,e-qa-01,text,long,28.0,0,0,0,848,0
qwen_397b,e-qa-01,markdown,long,28.0,0,0,0,1041,0
qwen_397b,e-qa-01,yaml,long,26.5,0,0,0,932,0
qwen_397b,e-qa-01,hybrid,long,25.25,0,0,0,727,0
gemini_3.1_pro,e-qa-01,text,short,29.5,0,0,0,781,0
gemini_3.1_pro,e-qa-01,markdown,short,30.0,0,0,0,1009,0
gemini_3.1_pro,e-qa-01,xml,short,32.25,0,0,0,821,0
gemini_3.1_pro,e-qa-01,json,short,33.0,0,0,0,751,0
gemini_3.1_pro,e-qa-01,yaml,short,33.0,0,0,0,820,0
gemini_3.1_pro,e-qa-01,hybrid,short,31.5,0,0,0,823,0
gemini_3.1_pro,e-qa-01,text,medium,33.0,0,0,0,560,0
gemini_3.1_pro,e-qa-01,markdown,medium,33.0,0,0,0,563,0
gemini_3.1_pro,e-qa-01,xml,medium,34.0,0,0,0,576,0
gemini_3.1_pro,e-qa-01,json,medium,35.0,0,0,0,550,0
gemini_3.1_pro,e-qa-01,yaml,medium,31.5,0,0,0,513,0
gemini_3.1_pro,e-qa-01,hybrid,medium,30.5,0,0,0,565,0
gemini_3.1_pro,e-qa-01,text,long,30.0,0,0,0,619,0
gemini_3.1_pro,e-qa-01,markdown,long,21.0,0,0,0,979,0
gemini_3.1_pro,e-qa-01,xml,long,32.0,0,0,0,1072,0
gemini_3.1_pro,e-qa-01,json,long,24.0,0,0,0,578,0
gemini_3.1_pro,e-qa-01,yaml,long,32.5,0,0,0,638,0
gemini_3.1_pro,e-qa-01,hybrid,long,26.0,0,0,0,1002,0
claude_sonnet_4.6,e-qa-01,text,short,23.0,0,0,0,1014,0
claude_sonnet_4.6,e-qa-01,markdown,short,31.5,0,0,0,1052,0
claude_sonnet_4.6,e-qa-01,xml,short,32.0,0,0,0,1120,0
claude_sonnet_4.6,e-qa-01,json,short,29.5,0,0,0,1094,0
claude_sonnet_4.6,e-qa-01,yaml,short,31.0,0,0,0,1066,0
claude_sonnet_4.6,e-qa-01,hybrid,short,28.5,0,0,0,1088,0
claude_sonnet_4.6,e-qa-01,text,medium,28.5,0,0,0,1167,0
claude_sonnet_4.6,e-qa-01,markdown,medium,29.5,0,0,0,1091,0
claude_sonnet_4.6,e-qa-01,xml,medium,27.5,0,0,0,1271,0
claude_sonnet_4.6,e-qa-01,json,medium,29.25,0,0,0,1383,0
claude_sonnet_4.6,e-qa-01,yaml,medium,27.5,0,0,0,1061,0
claude_sonnet_4.6,e-qa-01,hybrid,medium,24.5,0,0,0,1150,0
claude_sonnet_4.6,e-qa-01,text,long,25.0,0,0,0,1319,0
claude_sonnet_4.6,e-qa-01,markdown,long,26.5,0,0,0,1306,0
claude_sonnet_4.6,e-qa-01,xml,long,23.5,0,0,0,1169,0
claude_sonnet_4.6,e-qa-01,json,long,26.0,0,0,0,1060,0
claude_sonnet_4.6,e-qa-01,yaml,long,27.0,0,0,0,1274,0
claude_sonnet_4.6,e-qa-01,hybrid,long,24.0,0,0,0,1162,0
qwen_397b,e-extract-01,json,short,27.0,0,0,0,325,0
qwen_397b,e-extract-01,hybrid,short,27.0,0,0,0,325,0
qwen_397b,e-extract-01,text,medium,24.5,0,0,0,271,0
qwen_397b,e-extract-01,json,medium,22.0,0,0,0,0,0
qwen_397b,e-extract-01,yaml,medium,16.5,0,0,0,75,0
qwen_397b,e-extract-01,hybrid,medium,22.0,0,0,0,0,0
qwen_397b,e-extract-01,text,long,7.5,0,0,0,14,0
qwen_397b,e-extract-01,json,long,22.5,0,0,0,678,0
qwen_397b,e-extract-01,yaml,long,24.0,0,0,0,686,0
qwen_397b,e-extract-01,hybrid,long,15.5,0,0,0,198,0
gemini_3.1_pro,e-extract-01,text,short,31.5,0,0,0,392,0
gemini_3.1_pro,e-extract-01,markdown,short,32.0,0,0,0,406,0
gemini_3.1_pro,e-extract-01,xml,short,31.5,0,0,0,379,0
gemini_3.1_pro,e-extract-01,json,short,31.0,0,0,0,396,0
gemini_3.1_pro,e-extract-01,yaml,short,28.5,0,0,0,426,0
gemini_3.1_pro,e-extract-01,hybrid,short,28.5,0,0,0,296,0
gemini_3.1_pro,e-extract-01,text,medium,23.5,0,0,0,343,0
gemini_3.1_pro,e-extract-01,markdown,medium,22.5,0,0,0,310,0
gemini_3.1_pro,e-extract-01,xml,medium,24.0,0,0,0,290,0
gemini_3.1_pro,e-extract-01,json,medium,25.0,0,0,0,344,0
gemini_3.1_pro,e-extract-01,yaml,medium,23.0,0,0,0,304,0
gemini_3.1_pro,e-extract-01,hybrid,medium,23.75,0,0,0,305,0
gemini_3.1_pro,e-extract-01,text,long,18.5,0,0,0,165,0
gemini_3.1_pro,e-extract-01,markdown,long,23.0,0,0,0,454,0
gemini_3.1_pro,e-extract-01,xml,long,15.5,0,0,0,81,0
gemini_3.1_pro,e-extract-01,json,long,25.0,0,0,0,449,0
gemini_3.1_pro,e-extract-01,yaml,long,25.0,0,0,0,349,0
gemini_3.1_pro,e-extract-01,hybrid,long,23.0,0,0,0,578,0
claude_sonnet_4.6,e-extract-01,text,short,29.5,0,0,0,465,0
claude_sonnet_4.6,e-extract-01,markdown,short,28.5,0,0,0,373,0
claude_sonnet_4.6,e-extract-01,xml,short,26.5,0,0,0,508,0
claude_sonnet_4.6,e-extract-01,json,short,23.5,0,0,0,510,0
claude_sonnet_4.6,e-extract-01,yaml,short,29.5,0,0,0,426,0
claude_sonnet_4.6,e-extract-01,hybrid,short,30.5,0,0,0,434,0
claude_sonnet_4.6,e-extract-01,text,medium,29.5,0,0,0,635,0
claude_sonnet_4.6,e-extract-01,markdown,medium,28.0,0,0,0,560,0
claude_sonnet_4.6,e-extract-01,xml,medium,28.5,0,0,0,467,0
claude_sonnet_4.6,e-extract-01,json,medium,32.0,0,0,0,417,0
claude_sonnet_4.6,e-extract-01,yaml,medium,27.5,0,0,0,602,0
claude_sonnet_4.6,e-extract-01,hybrid,medium,30.5,0,0,0,599,0
claude_sonnet_4.6,e-extract-01,text,long,20.0,0,0,0,1183,0
claude_sonnet_4.6,e-extract-01,markdown,long,21.5,0,0,0,1384,0
claude_sonnet_4.6,e-extract-01,xml,long,24.0,0,0,0,869,0
claude_sonnet_4.6,e-extract-01,json,long,22.0,0,0,0,1245,0
claude_sonnet_4.6,e-extract-01,yaml,long,26.5,0,0,0,917,0
claude_sonnet_4.6,e-extract-01,hybrid,long,21.5,0,0,0,1092,0
qwen_397b,e-math-01,text,short,29.5,0,0,0,549,0
qwen_397b,e-math-01,markdown,short,34.5,0,0,0,392,0
qwen_397b,e-math-01,json,short,34.0,0,0,0,370,0
qwen_397b,e-math-01,yaml,short,33.75,0,0,0,546,0
qwen_397b,e-math-01,hybrid,short,34.5,0,0,0,359,0
qwen_397b,e-math-01,text,medium,28.5,0,0,0,357,0
qwen_397b,e-math-01,markdown,medium,23.5,0,0,0,233,0
qwen_397b,e-math-01,xml,medium,27.5,0,0,0,271,0
qwen_397b,e-math-01,json,medium,26.0,0,0,0,459,0
qwen_397b,e-math-01,yaml,medium,28.5,0,0,0,351,0
qwen_397b,e-math-01,hybrid,medium,26.5,0,0,0,378,0
qwen_397b,e-math-01,text,long,26.5,0,0,0,839,0
qwen_397b,e-math-01,markdown,long,22.0,0,0,0,287,0
qwen_397b,e-math-01,xml,long,26.5,0,0,0,697,0
qwen_397b,e-math-01,json,long,32.5,0,0,0,719,0
qwen_397b,e-math-01,yaml,long,25.0,0,0,0,725,0
qwen_397b,e-math-01,hybrid,long,28.0,0,0,0,677,0
gemini_3.1_pro,e-math-01,text,short,31.5,0,0,0,433,0
gemini_3.1_pro,e-math-01,markdown,short,29.5,0,0,0,412,0
gemini_3.1_pro,e-math-01,xml,short,32.5,0,0,0,494,0
gemini_3.1_pro,e-math-01,json,short,33.0,0,0,0,487,0
gemini_3.1_pro,e-math-01,yaml,short,33.0,0,0,0,439,0
gemini_3.1_pro,e-math-01,hybrid,short,31.0,0,0,0,430,0
gemini_3.1_pro,e-math-01,text,medium,30.0,0,0,0,391,0
gemini_3.1_pro,e-math-01,markdown,medium,26.5,0,0,0,437,0
gemini_3.1_pro,e-math-01,xml,medium,30.5,0,0,0,384,0
gemini_3.1_pro,e-math-01,json,medium,28.5,0,0,0,409,0
gemini_3.1_pro,e-math-01,yaml,medium,26.0,0,0,0,391,0
gemini_3.1_pro,e-math-01,hybrid,medium,28.5,0,0,0,423,0
gemini_3.1_pro,e-math-01,text,long,30.0,0,0,0,602,0
gemini_3.1_pro,e-math-01,markdown,long,28.0,0,0,0,481,0
gemini_3.1_pro,e-math-01,xml,long,24.5,0,0,0,733,0
gemini_3.1_pro,e-math-01,json,long,28.0,0,0,0,586,0
gemini_3.1_pro,e-math-01,yaml,long,27.0,0,0,0,661,0
gemini_3.1_pro,e-math-01,hybrid,long,29.5,0,0,0,555,0
claude_sonnet_4.6,e-math-01,text,short,32.0,0,0,0,685,0
claude_sonnet_4.6,e-math-01,markdown,short,33.5,0,0,0,502,0
claude_sonnet_4.6,e-math-01,xml,short,33.0,0,0,0,551,0
claude_sonnet_4.6,e-math-01,json,short,33.0,0,0,0,545,0
claude_sonnet_4.6,e-math-01,yaml,short,34.5,0,0,0,456,0
claude_sonnet_4.6,e-math-01,hybrid,short,34.0,0,0,0,415,0
claude_sonnet_4.6,e-math-01,text,medium,30.0,0,0,0,658,0
claude_sonnet_4.6,e-math-01,markdown,medium,32.5,0,0,0,600,0
claude_sonnet_4.6,e-math-01,xml,medium,37.5,0,0,0,174,0
claude_sonnet_4.6,e-math-01,json,medium,37.5,0,0,0,115,0
claude_sonnet_4.6,e-math-01,yaml,medium,33.5,0,0,0,659,0
claude_sonnet_4.6,e-math-01,hybrid,medium,32.0,0,0,0,622,0
claude_sonnet_4.6,e-math-01,text,long,25.0,0,0,0,909,0
claude_sonnet_4.6,e-math-01,markdown,long,28.0,0,0,0,1215,0
claude_sonnet_4.6,e-math-01,xml,long,26.0,0,0,0,878,0
claude_sonnet_4.6,e-math-01,json,long,25.5,0,0,0,817,0
claude_sonnet_4.6,e-math-01,yaml,long,15.0,0,0,0,1009,0
claude_sonnet_4.6,e-math-01,hybrid,long,18.0,0,0,0,916,0
qwen_397b,e-instruct-01,text,short,38.0,0,0,0,28,0
qwen_397b,e-instruct-01,markdown,short,37.5,0,0,0,29,0
qwen_397b,e-instruct-01,xml,short,38.5,0,0,0,27,0
qwen_397b,e-instruct-01,json,short,39.0,0,0,0,27,0
qwen_397b,e-instruct-01,yaml,short,35.0,0,0,0,27,0
qwen_397b,e-instruct-01,hybrid,short,38.0,0,0,0,26,0
qwen_397b,e-instruct-01,json,medium,6.0,0,0,0,0,0
qwen_397b,e-instruct-01,yaml,long,38.0,0,0,0,36,0
gemini_3.1_pro,e-instruct-01,text,short,38.0,0,0,0,69,0
gemini_3.1_pro,e-instruct-01,markdown,short,38.5,0,0,0,66,0
gemini_3.1_pro,e-instruct-01,xml,short,38.0,0,0,0,64,0
gemini_3.1_pro,e-instruct-01,json,short,38.0,0,0,0,67,0
gemini_3.1_pro,e-instruct-01,yaml,short,38.5,0,0,0,64,0
gemini_3.1_pro,e-instruct-01,hybrid,short,38.0,0,0,0,74,0
gemini_3.1_pro,e-instruct-01,text,medium,19.5,0,0,0,251,0
gemini_3.1_pro,e-instruct-01,markdown,medium,20.5,0,0,0,208,0
gemini_3.1_pro,e-instruct-01,xml,medium,14.5,0,0,0,227,0
gemini_3.1_pro,e-instruct-01,json,medium,12.0,0,0,0,277,0
gemini_3.1_pro,e-instruct-01,yaml,medium,21.0,0,0,0,198,0
gemini_3.1_pro,e-instruct-01,hybrid,medium,16.5,0,0,0,203,0
gemini_3.1_pro,e-instruct-01,text,long,13.5,0,0,0,437,0
gemini_3.1_pro,e-instruct-01,markdown,long,7.0,0,0,0,81,0
gemini_3.1_pro,e-instruct-01,xml,long,14.0,0,0,0,296,0
gemini_3.1_pro,e-instruct-01,json,long,18.0,0,0,0,288,0
gemini_3.1_pro,e-instruct-01,yaml,long,20.5,0,0,0,174,0
gemini_3.1_pro,e-instruct-01,hybrid,long,14.0,0,0,0,357,0
claude_sonnet_4.6,e-instruct-01,text,short,37.5,0,0,0,51,0
claude_sonnet_4.6,e-instruct-01,markdown,short,38.5,0,0,0,61,0
claude_sonnet_4.6,e-instruct-01,xml,short,37.5,0,0,0,62,0
claude_sonnet_4.6,e-instruct-01,json,short,38.0,0,0,0,67,0
claude_sonnet_4.6,e-instruct-01,yaml,short,38.5,0,0,0,61,0
claude_sonnet_4.6,e-instruct-01,hybrid,short,38.5,0,0,0,61,0
claude_sonnet_4.6,e-instruct-01,text,medium,37.0,0,0,0,84,0
claude_sonnet_4.6,e-instruct-01,markdown,medium,24.5,0,0,0,301,0
claude_sonnet_4.6,e-instruct-01,xml,medium,38.0,0,0,0,85,0
claude_sonnet_4.6,e-instruct-01,json,medium,38.0,0,0,0,79,0
claude_sonnet_4.6,e-instruct-01,yaml,medium,38.5,0,0,0,72,0
claude_sonnet_4.6,e-instruct-01,hybrid,medium,38.0,0,0,0,85,0
claude_sonnet_4.6,e-instruct-01,text,long,15.0,0,0,0,222,0
claude_sonnet_4.6,e-instruct-01,markdown,long,38.0,0,0,0,99,0
claude_sonnet_4.6,e-instruct-01,xml,long,21.5,0,0,0,186,0
claude_sonnet_4.6,e-instruct-01,json,long,33.5,0,0,0,105,0
claude_sonnet_4.6,e-instruct-01,yaml,long,38.0,0,0,0,76,0
claude_sonnet_4.6,e-instruct-01,hybrid,long,19.5,0,0,0,138,0
qwen_397b,e-code-01,text,short,36.0,0,0,0,303,0
qwen_397b,e-code-02,xml,short,32.5,0,0,0,432,0
qwen_397b,e-code-02,json,short,29.5,0,0,0,139,0
qwen_397b,e-code-02,hybrid,short,33.0,0,0,0,306,0
qwen_397b,e-code-02,text,medium,14.0,0,0,0,58,0
qwen_397b,e-code-02,xml,medium,26.5,0,0,0,292,0
qwen_397b,e-code-02,json,medium,21.0,0,0,0,325,0
qwen_397b,e-code-02,markdown,long,18.5,0,0,0,395,0
qwen_397b,e-code-02,json,long,23.5,0,0,0,617,0
qwen_397b,e-code-02,yaml,long,26.0,0,0,0,716,0
qwen_397b,e-code-02,hybrid,long,24.0,0,0,0,685,0
qwen_397b,e-code-03,text,medium,20.0,0,0,0,0,0
qwen_397b,e-code-03,xml,medium,36.0,0,0,0,253,0
qwen_397b,e-code-03,json,medium,20.0,0,0,0,0,0
qwen_397b,e-code-03,hybrid,medium,34.0,0,0,0,169,0
qwen_397b,e-code-03,text,long,19.5,0,0,0,0,0
qwen_397b,e-code-03,markdown,long,20.0,0,0,0,91,0
qwen_397b,e-write-01,text,short,19.0,0,0,0,0,0
qwen_397b,e-write-01,markdown,short,19.0,0,0,0,0,0
qwen_397b,e-write-01,xml,short,36.0,0,0,0,207,0
qwen_397b,e-write-01,yaml,short,37.0,0,0,0,202,0
qwen_397b,e-write-01,xml,medium,20.0,0,0,0,398,0
qwen_397b,e-write-01,text,long,2.0,0,0,0,0,0
qwen_397b,e-write-01,xml,long,19.5,0,0,0,663,0
qwen_397b,e-write-01,json,long,18.5,0,0,0,0,0
qwen_397b,e-write-01,yaml,long,21.5,0,0,0,560,0
qwen_397b,e-write-01,hybrid,long,22.5,0,0,0,538,0
qwen_397b,e-write-02,yaml,short,37.0,0,0,0,177,0
qwen_397b,e-write-02,text,medium,19.5,0,0,0,337,0
qwen_397b,e-write-02,yaml,medium,19.5,0,0,0,345,0
qwen_397b,e-write-02,hybrid,long,19.5,0,0,0,745,0
qwen_397b,e-write-03,yaml,short,35.0,0,0,0,223,0
qwen_397b,e-write-03,json,long,16.5,0,0,0,213,0
qwen_397b,e-analy-02,xml,short,15.5,0,0,0,469,0
qwen_397b,e-analy-02,yaml,medium,22.0,0,0,0,269,0
qwen_397b,e-analy-02,xml,long,17.0,0,0,0,688,0
qwen_397b,e-analy-02,json,long,18.0,0,0,0,698,0
qwen_397b,e-analy-02,yaml,long,18.0,0,0,0,824,0
qwen_397b,e-qa-01,xml,long,25.75,0,0,0,996,0
